0,2,1,Cortadora,0,6,1
0,0,1,Cortadora,6,10,1
0,2,2,Horno2,6,11,1
0,2,3,Prensa,11,15,1
1,1,1,Cortadora,10,14,1
0,0,2,Horno3,10,11,1
1,0,1,Cortadora,10,17,1
0,1,1,Cortadora,10,12,1
0,2,4,Horno2,15,20,1
1,1,2,Horno3,14,21,1
1,0,2,Horno1,17,20,1
0,1,2,Horno3,12,19,1
0,0,3,Prensa,15,21,1
1,1,3,Prensa,21,25,1
0,2,5,Roladora,20,26,1
0,0,4,Horno3,21,22,1
0,2,6,Horno1,26,29,1
1,1,4,Horno1,25,28,1
1,0,3,Prensa,25,29,1
1,1,5,Roladora,28,34,1
0,1,3,Prensa,25,29,1
0,2,7,Roladora,29,35,1
0,1,4,Horno2,29,34,1
1,1,6,Horno3,34,41,1
1,0,4,Horno3,29,36,1
0,2,8,Horno1,35,38,1
0,0,5,Roladora,35,43,1
0,1,5,Roladora,43,49,1
0,0,6,Horno3,43,44,1
0,2,9,Roladora,49,55,2
0,1,6,Horno3,49,56,2
1,0,5,Roladora,55,61,2
0,2,10,Horno3,55,62,2
1,1,7,Roladora,55,61,2
0,1,7,Roladora,56,62,2
0,2,11,Roladora,62,68,2
1,1,8,Horno3,61,68,2
1,0,6,Horno2,61,66,2
0,1,8,Horno1,62,65,2
0,2,12,Horno3,68,75,2
1,1,9,Roladora,68,74,2
0,2,13,Roladora,75,81,2
1,1,10,Horno1,74,77,2
0,1,9,Roladora,81,87,2
1,0,7,Roladora,81,87,2
1,1,11,Roladora,81,87,2
0,0,7,Roladora,81,89,2
0,1,10,Horno2,87,92,2
1,0,8,Horno3,87,94,2
1,1,12,Horno1,87,90,2
0,0,8,Horno1,89,94,2
1,0,9,Roladora,94,100,2
0,0,9,Roladora,100,108,2
0,1,11,Roladora,100,106,3
1,1,13,Roladora,100,106,2
1,0,10,Horno2,100,105,2
0,0,10,Horno1,108,113,2
0,1,12,Horno2,106,111,3
1,1,14,Horno3,106,113,3
1,0,11,Roladora,106,112,3
0,0,11,Roladora,113,121,2
1,0,12,Horno3,112,119,3
0,0,12,Horno1,121,126,2
1,1,15,Roladora,121,127,3
1,1,16,Horno3,127,134,3
0,1,13,Roladora,127,133,3
0,0,13,Roladora,127,135,2
1,0,13,Roladora,127,133,3
1,1,17,Roladora,134,140,3
0,0,14,Horno3,135,136,2
1,1,18,Horno2,140,145,3
0,1,14,Horno2,133,138,3
1,1,19,Roladora,145,151,3
0,0,15,Roladora,151,159,3
0,1,15,Roladora,151,157,4
0,0,16,Horno3,159,160,3
0,0,17,Roladora,160,168,3
0,0,18,Horno3,168,169,3
0,0,19,Roladora,169,177,3
,,,,,,
